Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.05396573803380066, 0.007392028410453421)   (rho_normalized calls: 189) 


Obj funtion: (0.053965738575857305, 0.0073920289117156476)   (rho_normalized calls: 189) 


Obj funtion: (0.053965739098019654, 0.0073920287416347815)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573679707441, 0.007392028053592502)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573723302592, 0.0073920283168495225)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573787002876, 0.007392028529519095)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573787733304, 0.007392028536774264)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737860662624, 0.007392028532151018)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573787878088, 0.007392028533086339)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573792915077, 0.0073920285304472835)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737869541126, 0.007392028523559004)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737836202426, 0.007392028498817238)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573780393164, 0.007392028469390832)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573787914036, 0.007392028505008813)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573804261556, 0.007392028511236761)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737699186014, 0.007392028518300578)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737847087025, 0.007392028496823551)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737864919344, 0.007392028525350208)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737864602556, 0.007392028525429228)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573786428564, 0.007392028524987887)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737865312564, 0.007392028525705889)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737859074416, 0.007392028524501334)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573786482346, 0.007392028524728259)   (rho_normalized calls: 189) 


Obj funtion: (0.0539657378634187, 0.007392028523237898)   (rho_normalized calls: 189) 


Obj funtion: (0.053965737865325686, 0.007392028523821903)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573786577971, 0.007392028525201105)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573788475928, 0.007392028524806934)   (rho_normalized calls: 189) 


Obj funtion: (0.0539657378898841, 0.007392028526485435)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573786090801, 0.007392028524235862)   (rho_normalized calls: 189) 


Obj funtion: (0.05010768987412967, 0.009694292141016574)   (rho_normalized calls: 147) 


Obj funtion: (0.05010769002952725, 0.009694292059169461)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768966520686, 0.009694291257460845)   (rho_normalized calls: 147) 


Obj funtion: (0.050107690813365656, 0.009694292862560065)   (rho_normalized calls: 147) 


Obj funtion: (0.0501076899256947, 0.009694292264774869)   (rho_normalized calls: 147) 


Obj funtion: (0.050107690826647996, 0.009694292055660622)   (rho_normalized calls: 147) 


Obj funtion: (0.05010769038925486, 0.009694292464317994)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987748754, 0.009694292139248016)   (rho_normalized calls: 147) 


Obj funtion: (0.0501076898871521, 0.009694292152757432)   (rho_normalized calls: 147) 


Obj funtion: (0.050107689873186506, 0.009694292147704862)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987494574, 0.009694292143247359)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768993040449, 0.009694292141860877)   (rho_normalized calls: 147) 


Obj funtion: (0.050107689877838923, 0.009694292144436352)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768985541667, 0.009694292150872634)   (rho_normalized calls: 147) 


Obj funtion: (0.050107689813324544, 0.009694292087329102)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768988036392, 0.00969429212448785)   (rho_normalized calls: 147) 


Obj funtion: (0.0501076901186319, 0.009694292140826191)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768977061484, 0.009694292137416183)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768985331166, 0.009694292085323443)   (rho_normalized calls: 147) 


Obj funtion: (0.050107689874267114, 0.009694292140944215)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987425983, 0.009694292141531995)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987354257, 0.009694292140631465)   (rho_normalized calls: 147) 


Obj funtion: (0.0501076898740315, 0.009694292141745907)   (rho_normalized calls: 147) 


