Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded autox_tracks/Michigan-2026-autox_gates.csv: 52 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (1.2849157017885153, 0.007421542218308284)   (rho_normalized calls: 651) 


Obj funtion: (1.28491570113943, 0.007421542276192704)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157011795846, 0.007421542219618202)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701237419, 0.007421542212223308)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157010058774, 0.007421542219031629)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016727253, 0.007421542226378362)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015965247, 0.00742154220887347)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016066273, 0.007421542245400453)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015337038, 0.007421542211382005)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701606944, 0.007421542209395722)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015822306, 0.007421542209475001)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015775534, 0.0074215422096644695)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016056225, 0.007421542210727043)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157014366481, 0.007421542155096002)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016117245, 0.007421542198796156)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701550405, 0.007421542209971589)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016335517, 0.007421542210056879)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015799069, 0.007421542208438904)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941150422, 0.007590185295667424)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389474050123, 0.007590185396311195)   (rho_normalized calls: 651) 


Obj funtion: (1.261538946742315, 0.00759018532830167)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389415795717, 0.007590185406756829)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389475768355, 0.007590185253638424)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389477863985, 0.007590185338171886)   (rho_normalized calls: 651) 


Obj funtion: (1.261538940898473, 0.007590185419097044)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941263294, 0.007590185289270985)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941431893, 0.007590185236261423)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941704715, 0.007590185286015825)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941470632, 0.007590185294816682)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389412594449, 0.007590185303408393)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411980569, 0.007590185301731915)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411511346, 0.0075901853046374985)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389405584867, 0.0075901853630603484)   (rho_normalized calls: 651) 


Obj funtion: (1.261538940751221, 0.007590185305683495)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389408100068, 0.007590185298328794)   (rho_normalized calls: 651) 


Obj funtion: (1.26153894057933, 0.007590185305054644)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389412438593, 0.007590185312420619)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411657123, 0.007590185294863511)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411758062, 0.00759018533247793)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941103772, 0.007590185297440651)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411778424, 0.007590185295427681)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411533013, 0.007590185295489689)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411486397, 0.007590185295691663)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411671258, 0.0075901852967909696)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389410196445, 0.007590185240136157)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411832039, 0.007590185284809512)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411215923, 0.007590185296010226)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389412044808, 0.007590185296089647)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389411509936, 0.007590185294464151)   (rho_normalized calls: 651) 


Obj funtion: (1.182904801581549, 0.009638877653065918)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048015057237, 0.009638877786411253)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048006152316, 0.00963887771420394)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048023497202, 0.009638877771096174)   (rho_normalized calls: 651) 


Obj funtion: (1.182904807869193, 0.009638877605521236)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048080774591, 0.009638877692281923)   (rho_normalized calls: 651) 


Obj funtion: (1.182904801347693, 0.009638877779619293)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048016834296, 0.009638877643829168)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048022070063, 0.009638877568312311)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048021827067, 0.00963887764187701)   (rho_normalized calls: 651) 


Obj funtion: (1.1829048018827806, 0.009638877652978276)   (rho_normalized calls: 651) 


Obj funtion: (1.182904801685422, 0.00963887766168458)   (rho_normalized calls: 651) 


Obj funtion: (1.182904801629721, 0.009638877659238937)   (rho_normalized calls: 651) 

