distance_m,x_m,y_m
386.0000,361.5099,7.6063
386.5000,361.4180,7.1054
387.0000,361.3306,6.6244
387.5000,361.2430,6.1336
388.0000,361.1560,5.6341
388.5000,361.0712,5.1306
389.0000,360.9923,4.6420
389.5000,360.9164,4.1487
390.0000,360.8443,3.6518
390.5000,360.7767,3.1524
391.0000,360.7145,2.6540
391.5000,360.6577,2.1558
392.0000,360.6067,1.6579
392.5000,360.5616,1.1609
393.0000,360.5222,0.6628
393.5000,360.4882,0.1607
394.0000,360.4598,-0.3393
394.5000,360.4362,-0.8372
395.0000,360.4166,-1.3333
395.5000,360.3996,-1.8317
396.0000,360.3839,-2.3300
396.5000,360.3676,-2.8292
397.0000,360.3484,-3.3305
397.5000,360.3245,-3.8275
398.0000,360.2940,-4.3228
398.5000,360.2553,-4.8209
399.0000,360.2072,-5.3217
399.5000,360.1491,-5.8223
400.0000,360.0821,-6.3121
400.5000,360.0044,-6.8040
401.0000,359.9158,-7.2978
401.5000,359.8163,-7.7931
402.0000,359.7080,-8.2809
402.5000,359.5911,-8.7640
403.0000,359.4646,-9.2475
403.5000,359.3291,-9.7311
404.0000,359.1851,-10.2145
404.5000,359.0354,-10.6906
405.0000,358.8789,-11.1651
405.5000,358.7160,-11.6383
406.0000,358.5475,-12.1100
406.5000,358.3741,-12.5801
407.0000,358.1959,-13.0494
407.5000,358.0141,-13.5165
408.0000,357.8294,-13.9811
408.5000,357.6424,-14.4432
409.0000,357.4525,-14.9053
409.5000,357.2593,-15.3697
410.0000,357.0652,-15.8314
410.5000,356.8704,-16.2907
411.0000,356.6751,-16.7478
411.5000,356.4779,-17.2063
412.0000,356.2795,-17.6649
412.5000,356.0800,-18.1227
413.0000,355.8791,-18.5803
413.5000,355.6761,-19.0381
414.0000,355.4701,-19.4955
414.5000,355.2608,-19.9510
415.0000,355.0479,-20.4036
415.5000,354.8312,-20.8528
416.0000,354.6093,-21.3009
416.5000,354.3815,-21.7494
417.0000,354.1503,-22.1936
417.5000,353.9159,-22.6339
418.0000,353.6790,-23.0704
418.5000,353.4371,-23.5093
419.0000,353.1930,-23.9467
419.5000,352.9484,-24.3823
420.0000,352.7038,-24.8170
420.5000,352.4600,-25.2517
421.0000,352.2177,-25.6878
421.5000,351.9780,-26.1258
422.0000,351.7416,-26.5666
422.5000,351.5092,-27.0112
423.0000,351.2851,-27.4536
423.5000,351.0668,-27.9000
424.0000,350.8541,-28.3524
424.5000,350.6476,-28.8114
425.0000,350.4493,-29.2730
425.5000,350.2624,-29.7296
426.0000,350.0816,-30.1931
426.5000,349.9068,-30.6635
