Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.054859650652692, 0.007772136727428553)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965072521481, 0.007772136753886944)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965089056348, 0.007772136760540795)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650550288436, 0.007772136765650715)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965069593473, 0.007772136742561501)   (rho_normalized calls: 189) 


Obj funtion: (0.0548596507134006, 0.007772136771560973)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071314988, 0.007772136771771527)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071277232, 0.007772136771354888)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071380913, 0.007772136772250567)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965070758531, 0.0077721367709254925)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071333039, 0.007772136771149135)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650712031555, 0.007772136770827837)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650713653195, 0.007772136770422467)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071432447, 0.007772136771864966)   (rho_normalized calls: 189) 


Obj funtion: (0.0548596507332787, 0.0077721367709275005)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965073843177, 0.007772136772853943)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965070923767, 0.007772136770612558)   (rho_normalized calls: 189) 


Obj funtion: (0.04900964283810867, 0.009045481177754569)   (rho_normalized calls: 147) 


Obj funtion: (0.0490096429889357, 0.009045481077996922)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964260029508, 0.009045480322340524)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964381111518, 0.009045482060428517)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964292493208, 0.009045481498096156)   (rho_normalized calls: 147) 


Obj funtion: (0.049009643827288105, 0.009045481056610294)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964329087479, 0.009045481461611597)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964284136432, 0.00904548117560125)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964285128533, 0.009045481187953064)   (rho_normalized calls: 147) 


Obj funtion: (0.0490096428373307, 0.009045481177614723)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964283904949, 0.009045481178107564)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964289438688, 0.009045481178491362)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964284124232, 0.009045481180611825)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964281991686, 0.009045481189786694)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642776798125, 0.009045481131115446)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642844059495, 0.009045481179876552)   (rho_normalized calls: 147) 


Obj funtion: (0.049009643082736656, 0.009045481182698406)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964272799814, 0.009045481167908292)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964281665604, 0.009045481125744138)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642838240844, 0.009045481177667139)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642838255055, 0.00904548117824193)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642837493386, 0.009045481177351364)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964283803356, 0.009045481178725903)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964283309352, 0.00904548117766489)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642838248886, 0.009045481177834519)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964283737128, 0.009045481178242276)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642837863576, 0.0090454811757269)   (rho_normalized calls: 147) 


Obj funtion: (0.04900964283979388, 0.009045481178484291)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642862261255, 0.009045481176132866)   (rho_normalized calls: 147) 


Obj funtion: (0.049009642857365254, 0.009045481177503596)   (rho_normalized calls: 147) 


Obj funtion: (0.0490096428354031, 0.009045481174564392)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961616784, 0.0077258771568364665)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814973033471, 0.007725877153139424)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814954301587, 0.007725876553634839)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149983479674, 0.007725877700190106)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149437041245, 0.007725877255149047)   (rho_normalized calls: 147) 


Obj funtion: (0.04617815055634194, 0.007725877058655253)   (rho_normalized calls: 147) 


Obj funtion: (0.046178150089717346, 0.00772587743767162)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961863474, 0.0077258771569316265)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149625310284, 0.007725877167706188)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961645088, 0.007725877162099701)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814962174013, 0.007725877161306523)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814967007063, 0.007725877156987693)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149619402906, 0.007725877159689087)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149602098, 0.0077258771555388656)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814957210586, 0.007725877108151993)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961661477, 0.00772587714241893)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149835736974, 0.007725877145851788)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814951310668, 0.0077258771483136035)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149596897346, 0.007725877103868385)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149616259656, 0.007725877156834884)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149616248304, 0.007725877157285982)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961607549, 0.007725877156741404)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961584444, 0.007725877157669217)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961138116, 0.007725877156731183)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149616300596, 0.007725877156914605)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961564126, 0.007725877156723487)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814961606213, 0.007725877155180735)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149616320496, 0.007725877156898556)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814964031418, 0.007725877155186106)   (rho_normalized calls: 147) 


Obj funtion: (0.04617814963478149, 0.0077258771562255316)   (rho_normalized calls: 147) 


Obj funtion: (0.046178149613346875, 0.007725877153674447)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046160325544, 0.006558116680222749)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604620642825, 0.006558116648563629)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046133531866, 0.0065581163719252225)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604600140459, 0.00655811692621195)   (rho_normalized calls: 147) 


Obj funtion: (0.044526045977457906, 0.0065581169085612775)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046586546235, 0.006558116038037437)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604667131837, 0.006558117114269804)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604616141246, 0.006558116679476346)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604616571231, 0.006558116686795935)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604616322579, 0.006558116677834437)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604617225608, 0.006558116682568976)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046211437804, 0.006558116682443063)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046163777644, 0.0065581166830916415)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604615386012, 0.006558116684662614)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046134168246, 0.006558116650680436)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604615323676, 0.006558116689754152)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046337671994, 0.0065581166634423455)   (rho_normalized calls: 147) 


Obj funtion: (0.044526046052598536, 0.0065581166917216965)   (rho_normalized calls: 147) 


Obj funtion: (0.04452604614499592, 0.006558116651151108)   (rho_normalized calls: 147) 
